"","position","size","word"
"1","1","3","The"
"2","2","7","mission"
"3","3","2","of"
"4","4","8","Carleton"
"5","5","7","College"
"6","6","2","is"
"7","7","2","to"
"8","8","7","provide"
"9","9","2","an"
"10","10","11","exceptional"
"11","11","13","undergraduate"
"12","12","7","liberal"
"13","13","4","arts"
"14","14","9","education"
"15","15","2","In"
"16","16","7","pursuit"
"17","17","2","of"
"18","18","4","this"
"19","19","7","mission"
"20","20","3","the"
"21","21","7","College"
"22","22","2","is"
"23","23","7","devoted"
"24","24","2","to"
"25","25","8","academic"
"26","26","10","excellence"
"27","27","13","distinguished"
"28","28","2","by"
"29","29","3","the"
"30","30","8","creative"
"31","31","9","interplay"
"32","32","2","of"
"33","33","8","teaching"
"34","34","8","learning"
"35","35","3","and"
"36","36","11","scholarship"
"37","37","3","and"
"38","38","9","dedicated"
"39","39","2","to"
"40","40","3","our"
"41","41","7","diverse"
"42","42","11","residential"
"43","43","9","community"
"44","44","3","and"
"45","45","9","extensive"
"46","46","13","international"
"47","47","11","engagements"
"48","48","3","The"
"49","49","8","Colleges"
"50","50","10","aspiration"
"51","51","2","is"
"52","52","2","to"
"53","53","7","prepare"
"54","54","8","students"
"55","55","2","to"
"56","56","4","lead"
"57","57","5","lives"
"58","58","2","of"
"59","59","8","learning"
"60","60","4","that"
"61","61","3","are"
"62","62","7","broadly"
"63","63","9","rewarding"
"64","64","14","professionally"
"65","65","10","satisfying"
"66","66","3","and"
"67","67","2","of"
"68","68","7","service"
"69","69","2","to"
"70","70","8","humanity"
"71","71","2","By"
"72","72","11","discovering"
"73","73","3","and"
"74","74","7","sharing"
"75","75","9","exemplary"
"76","76","6","models"
"77","77","2","of"
"78","78","13","undergraduate"
"79","79","9","education"
"80","80","3","the"
"81","81","7","College"
"82","82","5","seeks"
"83","83","2","to"
"84","84","2","be"
"85","85","1","a"
"86","86","6","leader"
"87","87","5","among"
"88","88","5","those"
"89","89","8","colleges"
"90","90","12","universities"
"91","91","3","and"
"92","92","12","professional"
"93","93","13","organizations"
"94","94","4","that"
"95","95","5","share"
"96","96","3","our"
"97","97","10","dedication"
"98","98","2","to"
"99","99","4","this"
"100","100","6","vision"
"101","101","8","Carleton"
"102","102","7","strives"
"103","103","2","to"
"104","104","2","be"
"105","105","1","a"
"106","106","13","collaborative"
"107","107","9","community"
"108","108","4","that"
"109","109","10","encourages"
"110","110","9","curiosity"
"111","111","3","and"
"112","112","12","intellectual"
"113","113","9","adventure"
"114","114","2","of"
"115","115","3","the"
"116","116","7","highest"
"117","117","7","quality"
"118","118","7","Faculty"
"119","119","5","staff"
"120","120","3","and"
"121","121","8","students"
"122","122","7","respect"
"123","123","3","one"
"124","124","7","another"
"125","125","3","for"
"126","126","3","the"
"127","127","7","serious"
"128","128","4","work"
"129","129","3","and"
"130","130","3","the"
"131","131","7","playful"
"132","132","5","humor"
"133","133","2","we"
"134","134","5","share"
"135","135","3","and"
"136","136","2","we"
"137","137","7","support"
"138","138","4","each"
"139","139","5","other"
"140","140","2","in"
"141","141","8","pursuing"
"142","142","1","a"
"143","143","7","healthy"
"144","144","7","balance"
"145","145","2","of"
"146","146","4","mind"
"147","147","4","body"
"148","148","3","and"
"149","149","6","spirit"
"150","150","5","Quiet"
"151","151","10","reflection"
"152","152","3","and"
"153","153","6","lively"
"154","154","10","engagement"
"155","155","3","are"
"156","156","6","valued"
"157","157","2","as"
"158","158","7","sources"
"159","159","2","of"
"160","160","17","selfunderstanding"
"161","161","3","and"
"162","162","7","renewal"
"163","163","8","Carleton"
"164","164","6","honors"
"165","165","10","thoughtful"
"166","166","13","conversations"
"167","167","5","about"
"168","168","9","difficult"
"169","169","9","questions"
"170","170","2","as"
"171","171","9","necessary"
"172","172","3","for"
"173","173","10","individual"
"174","174","6","growth"
"175","175","3","and"
"176","176","9","community"
"177","177","8","strength"
"178","178","3","The"
"179","179","7","College"
"180","180","5","works"
"181","181","2","to"
"182","182","6","embody"
"183","183","3","the"
"184","184","6","values"
"185","185","2","of"
"186","186","7","freedom"
"187","187","2","of"
"188","188","7","inquiry"
"189","189","3","and"
"190","190","10","expression"
"191","191","3","and"
"192","192","2","is"
"193","193","8","vigilant"
"194","194","2","in"
"195","195","10","protecting"
"196","196","5","these"
"197","197","6","values"
"198","198","6","within"
"199","199","1","a"
"200","200","7","culture"
"201","201","2","of"
"202","202","8","academic"
"203","203","9","integrity"
"204","204","5","civil"
"205","205","12","deliberation"
"206","206","3","and"
"207","207","7","ethical"
"208","208","6","action"
"209","209","8","Carleton"
"210","210","4","aims"
"211","211","2","to"
"212","212","2","be"
"213","213","9","welcoming"
"214","214","3","and"
"215","215","10","hospitable"
"216","216","2","to"
"217","217","3","its"
"218","218","9","neighbors"
"219","219","6","guests"
"220","220","3","and"
"221","221","3","the"
"222","222","6","public"
"223","223","3","and"
"224","224","1","a"
"225","225","11","responsible"
"226","226","7","steward"
"227","227","2","of"
"228","228","3","its"
"229","229","9","resources"
